발명의명칭,출원인,출원일자,심사진행상태
완충층이 형성된 LED 패키지 및 그 제조 방법(LED PACKAGE COMPRISING BUFFER LAYER AND MANUFACTURING METHOD OF THE SAME),엘지이노텍 주식회사(서울특별시 강서구...),2010.03.17,등록결정(일반)
LED 패키지 및 그 제조방법(LED PACKAGE AND MANUFACTURING METHOD OF THE SAME),엘지이노텍 주식회사(서울특별시 강서구...),2010.03.17,등록결정(일반)
LED 백 라이트 시스템 및 그의 초기 설정방법(LED BACK LIGHT SYSTEM AND INITIAL SETTING UP METHOD THEREOF),엘지디스플레이 주식회사(서울특별시 영등포구...),2007.04.20,등록결정(일반)
마이크로LED 표시장치 제조방법(METHOD OF FABRICATING MICRO LED DISPLAY DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.12.26,등록결정(재심사후)
LED 램프와 이를 구비한 백라이트 유닛(LED LAMP AND BACKLIGHT UNIT HAVING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2006.04.26,등록결정(일반)
LED 백라이트 유닛 및 이를 이용한 액정표시장치(Module for light guide plate and LED back-light unit using the same),엘지전자 주식회사(서울특별시 영등포구...),2009.06.15,등록결정(일반)
LED 디스플레이 장치 및 그 제조 방법(LED DISPLAY APPARATUS AND METHOD FOR MANUFACTURING THE SAME),엘지전자 주식회사(서울특별시 영등포구...),2011.10.26,등록결정(일반)
UV LED 조사모듈을 가지는 팬하우징이 있는 공기조화기(AIR CONDITIONER INCLUDING FAN HAVING UV LED IRRADIATING MODULE),엘지전자 주식회사(서울특별시 영등포구...),2019.08.30,거절결정(재심사)
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2020.07.01,
시간 지연 회로가 구비된 LED 구동 장치(LED driver provided with time delay circuit),엘지이노텍 주식회사(서울특별시 강서구...),2016.01.05,취하(심사미청구)
LED 구동 드라이버 및 그 구동방법(DRIVER FOR DRIVING LED AND METHOD OF DRIVING LED),엘지이노텍 주식회사(서울특별시 강서구...),2016.12.07,
과전압보호회로를 구비한 LED 조명장치(LED APPARATUS HAVING OVER VOLTAGE PROTECTION CIRCUIT),엘지이노텍 주식회사(서울특별시 강서구...),2016.09.07,취하(심사미청구)
LED 조명 제어 모듈(LED lamp control module),엘지이노텍 주식회사(서울특별시 강서구...),2015.06.01,취하(심사미청구)
LED장치 보호회로(PROTECTION CIRCUIT FOR LED APPARATUS),엘지이노텍 주식회사(서울특별시 강서구...),2015.05.15,취하(심사미청구)
LED 어레이 및 이를 포함하는 액정표시장치(LED ARRAY AND LIQUID CRYSTAL DISPLAY DEVICE INCULDING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.01.22,등록결정(일반)
LED 조명용 전원 장치(Power device for LED lighting),엘지이노텍 주식회사(서울특별시 강서구...),2015.04.21,등록결정(일반)
LED 구동회로(LED driving circuit),엘지전자 주식회사(서울특별시 영등포구...),2014.12.31,등록결정(일반)
LED 전력 제어 장치(APPARATUS FOR LED POWER CONTROL),엘지이노텍 주식회사(서울특별시 강서구...),2010.04.10,등록결정(일반)
수명 측정 시스템이 포함된 LED조명(LED Lighting Apparatus with Life Cycle Estimation System),엘지이노텍 주식회사(서울특별시 강서구...),2010.10.08,거절결정(일반)
LED 어레이 및 이를 이용한 백 라이트 유닛(LED array and Backlight Unit With Using the Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2004.12.21,등록결정(일반)
LED 벌브 램프 및 이를 포함하는 차량용 램프(LED bulb lamps and automotive lamp comprising the same),엘지이노텍 주식회사(서울특별시 강서구...),2016.07.14,
LED 패키지 및 그 제조방법(LED PACKAGE AND MANUFACTURING METHOD OF THE SAME),엘지이노텍 주식회사(서울특별시 강서구...),2010.01.19,등록결정(일반)
LED 이송 장치 및 이송 방법(APPARATUS AND METHOD OF TRANSFERING LED),엘지디스플레이 주식회사(서울특별시 영등포구...),2018.11.30,
열전냉각모듈이 내장된 LED 모듈을 포함하는 LED 조명기구(LED LIGHTING APPARATUS COMPRISING LED MODULE EMBEDDED THERMOELECTRIC COOLING MODULE),엘지이노텍 주식회사(서울특별시 강서구...),2010.07.29,등록결정(일반)
UV LED를 갖는 정수기(WATER PURIFIER HAVING UV LED),엘지이노텍 주식회사(서울특별시 강서구...),2010.10.11,거절결정(일반)
LED 백라이트 유닛(LED backlight unit),엘지전자 주식회사(서울특별시 영등포구...),2009.08.12,등록결정(일반)
LED 백라이트 유닛(LED backlight unit),엘지전자 주식회사(서울특별시 영등포구...),2008.06.27,등록결정(일반)
LED 조명장치(LIGHTING DEVICE WITH LED),엘지전자 주식회사(서울특별시 영등포구...),2009.05.25,등록결정(일반)
LED 백라이트 유닛(LED back-light unit),엘지전자 주식회사(서울특별시 영등포구...),2009.06.02,등록결정(일반)
형광체 함유 LED 용 기판 및 이를 이용한 LED 패키지 및 이들 각각의 제조 방법(SUBSTRATE COMPRISING FLUORESCENT MATERIAL FOR LIGHT EMITTING DIODE AND LED PACKAGE USING THE SAME AND EACH MANUFACTURING METHOD THEREOF),엘지이노텍 주식회사(서울특별시 강서구...),2010.01.20,등록결정(일반)
링 형태의 메사 구조를 갖는 대면적 플립칩 LED(LARGE-SIZE FLIP CHIP LED HAVING RING-TYPE MESA GEOMETRY),엘지이노텍 주식회사(서울특별시 강서구...),2002.12.09,등록결정(일반)
고 해상도 마이크로 LED 표시 장치 및 그 제조 방법(HIGH RESOLUTION MICRO LED DISPLAY DEVICE AND THE MANUFACTURING METHOD OF THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2018.12.17,
고 해상도 마이크로 LED 표시 장치(HIGH RESOLUTION MICRO LED DISPLAY DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2018.12.17,
고출력 LED를 위한 역피라미드형 플립 칩(REVERSE-PYRAMIDAL FLIP CHIP FOR HIGH OUTPUT LED),엘지이노텍 주식회사(서울특별시 강서구...),2002.08.30,등록결정(일반)
수지 조성물 및 이를 이용한 ESD보호층을 포함하는 LED패키지(RESIN COMPOSITE AND LED PACKAGE COMPRISING ESD PROTECTION LAYER USING THE SAME),엘지이노텍 주식회사(서울특별시 강서구...),2013.09.11,등록결정(일반)
LED 표시장치(Light emitting diode(LED) display device),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.27,
LED 표시장치 및 이의 제조방법(Light emitting diode(LED) display device and method of fabricating the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.23,
백라이트부용 LED 어레이 및 이의 제조방법(LED ARRAY FOR BACKLIGHT UNIT AND METHOD OF FABRICATING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2014.08.01,등록결정(일반)
마이크로-LED 표시장치(micro-light emitting diode(LED) display device),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.17,
