발명의명칭,출원인,출원일자,심사진행상태
상변환 기억 소자(Phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2005.12.28,취하(심사미청구)
상변환 기억 소자의 제조방법(Method of manufacturing phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2005.12.28,등록결정(일반)
상변환 기억 소자(Phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2005.12.28,취하(심사미청구)
상변환 기억 소자(Phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2005.12.28,취하(심사미청구)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2005.12.15,취하(심사미청구)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2005.12.15,취하(심사미청구)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2005.12.15,취하(심사미청구)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2005.12.15,취하(심사미청구)
상변환 기억 소자의 제조방법(Method of manufacturing phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2005.06.10,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2005.06.10,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2005.06.10,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2005.05.26,등록결정(일반)
연속적인 버스트 모드로 동작 가능한 슈도 SRAM(Pseudo static random access memory capable of operatingin continuous burst mode),에스케이하이닉스 주식회사(경기도 이천시...),2005.05.30,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2005.05.26,거절결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2005.05.26,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2005.05.16,취하(심사미청구)
피엔 다이오드를 이용한 상변환 기억 소자 및 그의 제조방법(Phase change RAM device using PN diode and method ofmanufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2004.06.30,취하(심사미청구)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturingthe same),에스케이하이닉스 주식회사(경기도 이천시...),2004.06.30,등록결정(일반)
